election,Cond committee,STV winners,RCV winners,prop get at least one STV,prop get at least one RCV,prop get all STV,prop get all RCV,parties STV,parties RCV,num parties STV,num parties RCV
w-duns12-ballots/w-duns12-01.blt,EF,AE,EF,0.81894452,0.554262517,0.040866035,0.419215156,"Lab, SNP","Lab, Lab",2,1
w-duns12-ballots/w-duns12-03.blt,DH,DF,DH,0.751367116,0.520051039,0.047211083,0.38005833,"Lab, SNP","Lab, Lab",2,1
w-duns12-ballots/w-duns12-02.blt,CF,CD,CF,0.75945893,0.51048814,0.052146638,0.315624387,"Lab, SNP","Lab, Lab",2,1
w-duns12-ballots/w-duns12-06.blt,AH,AB,AH,0.832384423,0.556365293,0.08836256,0.348895468,"Lab, SNP","Lab, Lab",2,1
w-duns12-ballots/w-duns12-05.blt,DF,BD,DF,0.852941176,0.569798068,0.059920983,0.428446005,"Lab, SNP","Lab, Lab",2,1
w-duns12-ballots/w-duns12-04.blt,FG,CF,FG,0.916387025,0.652964206,0.06795302,0.542505593,"Lab, SNP","Lab, Lab",2,1
stirling12-ballots/stirling12-05.blt,CD,CD,CD,0.795263937,0.795263937,0.44597928,0.44597928,"SNP, Lab","SNP, Lab",2,2
stirling12-ballots/stirling12-04.blt,CG,AG,CG,0.724975058,0.731958763,0.031260392,0.052876621,"SNP, Lab","Lab, SNP",2,2
stirling12-ballots/stirling12-06.blt,CE,CF,CE,0.815830316,0.602172788,0.169425763,0.392653906,"SNP, Lab","Lab, Lab",2,1
stirling12-ballots/stirling12-07.blt,AC,AC,AC,0.907491659,0.907491659,0.107370337,0.107370337,"SNP, Lab","Lab, SNP",2,2
stirling12-ballots/stirling12-03.blt,CE,CD,CD,0.671723634,0.671723634,0.103271797,0.103271797,"SNP, Lab","SNP, Lab",2,2
stirling12-ballots/stirling12-02.blt,EG,AG,EG,0.719905417,0.475709372,0.028589854,0.316208083,"Con, SNP","SNP, SNP",2,1
stirling12-ballots/stirling12-01.blt,CF,BC,CF,0.79401367,0.570586849,0.156021683,0.365307565,"Con, SNP","SNP, SNP",2,1
glasgow2007 preflib/greater pollok.txt,DE,CD,DE,0.630039161,0.510481456,0.149043999,0.205252246,"SNP, Lab","Lab, Lab",2,1
glasgow2007 preflib/craigton.txt,EF,DE,EF,0.60839667,0.466883822,0.13961274,0.199782845,"SNP, Lab","Lab, Lab",2,1
glasgow2007 preflib/maryhill.txt,AH,AH,AH,0.647005353,0.647005353,0.148671851,0.148671851,"SNP, Lab","SNP, Lab",2,2
glasgow2007 preflib/baillieston.txt,BG,BG,BG,0.716750193,0.716750193,0.128373169,0.128373169,"SNP, Lab","Lab, SNP",2,2
glasgow2007 preflib/north east.txt,AC,AJ,AC,0.677986369,0.589262226,0.159272988,0.293674519,"Lab, SNP","Lab, Lab",2,1
glasgow2007 preflib/linn.txt,CF,CG,CF,0.557959653,0.464722484,0.114037838,0.193268527,"Lab, SNP","Lab, Lab",2,1
glasgow2007 preflib/garscadden.txt,BG,BE,BG,0.66742126,0.566535433,0.180314961,0.238484252,"Lab, SNP","Lab, Lab",2,1
glasgow2007 preflib/govan.txt,None,BE,CF,0.653661088,0.653661088,0.167887029,0.167887029,"SNP, Lab","SNP, Lab",2,2
glasgow2007 preflib/newlands.txt,DG,DE,DG,0.642015253,0.48844465,0.145019644,0.297781373,"Lab, SNP","Lab, Lab",2,1
glasgow2007 preflib/eastcentre.txt,BE,BF,BE,0.567085261,0.482925755,0.121392377,0.201586252,"Lab, SNP","Lab, Lab",2,1
glasgow2007 preflib/calton.txt,HI,HJ,HI,0.748797846,0.584920177,0.193306405,0.415656857,"Lab, SNP","Lab, Lab",2,1
glasgow2007 preflib/langside.txt,BD,BD,BD,0.679237197,0.679237197,0.145489608,0.145489608,"Lab, SNP","Lab, SNP",2,2
glasgow2007 preflib/drumchapel.txt,AJ,AF,AJ,0.65483871,0.611866359,0.170391705,0.235599078,"Lab, SNP","Lab, Lab",2,1
glasgow2007 preflib/partick.txt,FG,CG,FG,0.582234777,0.542529818,0.098399247,0.147284997,"Lab, SNP","SNP, LD",2,2
glasgow2007 preflib/hillhead.txt,CJ,IJ,CJ,0.516139804,0.515694568,0.177983081,0.095614426,"SNP, Grn","Grn, LD",2,2
glasgow2007 preflib/shettleston.txt,GI,GH,GI,0.576962399,0.520504374,0.143019425,0.218221061,"Lab, SNP","Lab, Lab",2,1
glasgow2007 preflib/canal.txt,DH,DH,DH,0.650858071,0.650858071,0.190282931,0.190282931,"SNP, Lab","Lab, SNP",2,2
glasgow2007 preflib/anderston.txt,CH,CG,CH,0.606231884,0.456666667,0.139710145,0.257681159,"Lab, SNP","Lab, Lab",2,1
glasgow2007 preflib/pollokshields.txt,CF,CF,CF,0.617957562,0.617957562,0.241873105,0.241873105,"Lab, SNP","Lab, SNP",2,2
glasgow2007 preflib/southsidecentral.txt,BG,BG,BG,0.670405127,0.670405127,0.154726482,0.154726482,"SNP, Lab","Lab, SNP",2,2
glasgow2007 preflib/springburn.txt,HJ,DH,HJ,0.768391867,0.641774492,0.19038817,0.456746765,"Lab, SNP","Lab, Lab",2,1
fife12-ballots/fife12-04.blt,DF,CF,DF,0.711488477,0.532316756,0.039161324,0.362848726,"Lab, SNP","Lab, Lab",2,1
fife12-ballots/fife12-10.blt,BC,BC,BC,0.732217573,0.732217573,0.070083682,0.070083682,"Lab, SNP","Lab, SNP",2,2
fife12-ballots/fife12-11.blt,AG,AE,AG,0.877038043,0.64696558,0.05638587,0.494791667,"Lab, SNP","Lab, Lab",2,1
fife12-ballots/fife12-05.blt,AG,AB,AG,0.827684347,0.548771022,0.071668823,0.40698577,"SNP, Lab","Lab, Lab",2,1
fife12-ballots/fife12-13.blt,AB,AE,AB,0.836652314,0.551668461,0.037944026,0.452637244,"SNP, Lab","Lab, Lab",2,1
fife12-ballots/fife12-07.blt,CF,CF,CF,0.820987654,0.820987654,0.251207729,0.251207729,"Lab, Ind","Lab, Ind",2,2
fife12-ballots/fife12-06.blt,DG,DG,CD,0.737330611,0.723036941,0.034713198,0.047150548,"SNP, Lab","SNP, Lab",2,2
fife12-ballots/fife12-12.blt,AD,AB,AD,0.842983083,0.592089588,0.081010245,0.432690017,"Lab, SNP","Lab, Lab",2,1
fife12-ballots/fife12-16.blt,None,AB,BF,0.89172448,0.89172448,0.049306244,0.049306244,"SNP, Lab","SNP, Lab",2,2
fife12-ballots/fife12-02.blt,BC,CD,BC,0.833071279,0.650157233,0.221960168,0.43370021,"SNP, Lab","Lab, Lab",2,1
fife12-ballots/fife12-03.blt,CG,CE,CG,0.673274213,0.529299252,0.123109025,0.312119631,"Lab, LD","Lab, Lab",2,1
fife12-ballots/fife12-17.blt,BC,BC,BC,0.761093586,0.761093586,0.075920084,0.075920084,"LD, SNP","LD, SNP",2,2
fife12-ballots/fife12-01.blt,AB,BG,AB,0.741398446,0.523386713,0.043443793,0.39083558,"Lab, SNP","Lab, Lab",2,1
fife12-ballots/fife12-15.blt,BC,BC,BC,0.75904066,0.75904066,0.049653363,0.049653363,"Lab, SNP","SNP, Lab",2,2
fife12-ballots/fife12-14.blt,CF,CF,CF,0.764092664,0.764092664,0.035135135,0.035135135,"Lab, SNP","Lab, SNP",2,2
fife12-ballots/fife12-19.blt,DG,DE,DG,0.472455226,0.416912265,0.099977329,0.103604625,"LD, Con","LD, LD",2,1
fife12-ballots/fife12-18.blt,AE,AB,AE,0.787986605,0.674968606,0.161992465,0.358518208,"LD, SNP","LD, LD",2,1
fife12-ballots/fife12-23.blt,AF,AF,AF,0.711663706,0.711663706,0.155318729,0.155318729,"Lab, Ind","Lab, Ind",2,2
fife12-ballots/fife12-22.blt,BE,BD,BE,0.668245644,0.461850787,0.034850279,0.200812045,"SNP, Lab","SNP, SNP",2,1
fife12-ballots/fife12-20.blt,CD,BD,CD,0.739196361,0.604751074,0.165529441,0.307050796,"LD, SNP","LD, LD",2,1
fife12-ballots/fife12-08.blt,BD,BD,BD,0.702374528,0.702374528,0.604425256,0.604425256,"Lab, Lab","Lab, Lab",1,1
fife12-ballots/fife12-09.blt,BC,BC,BC,0.72057971,0.72057971,0.624347826,0.624347826,"Lab, Lab","Lab, Lab",1,1
fife12-ballots/fife12-21.blt,BE,BE,BE,0.831151542,0.831151542,0.283558908,0.283558908,"Ind, LD","Ind, LD",2,2
e-lothian12-ballots/e-lothian12-05.blt,BD,BD,BD,0.708097928,0.708097928,0.239171375,0.239171375,"Con, Lab","Con, Lab",2,2
e-lothian12-ballots/e-lothian12-04.blt,DE,DE,DE,0.649385355,0.649385355,0.35097096,0.35097096,"Lab, Lab","Lab, Lab",1,1
e-lothian12-ballots/e-lothian12-06.blt,DF,DF,DF,0.717262558,0.717262558,0.327703444,0.327703444,"Lab, SNP","Lab, SNP",2,2
e-lothian12-ballots/e-lothian12-07.blt,BD,BD,BD,0.756687353,0.756687353,0.068906484,0.068906484,"Lab, SNP","SNP, Lab",2,2
e-lothian12-ballots/e-lothian12-03.blt,CD,AC,CD,0.843084661,0.60217938,0.0620285,0.494719195,"Lab, SNP","Lab, Lab",2,1
e-lothian12-ballots/e-lothian12-02.blt,CD,AD,CD,0.814579629,0.603251207,0.1498603,0.359410719,"Lab, Ind","Lab, Lab",2,1
